Row Labels,Count of VIOLATION_PROC_DESC
PARK IN RESERVED EMBASSY SPACE,36
"PARK IN MEDIAN, ISLAND, OR SAFETY ZONE",36
OVERTIME AT METER BALLPARK EVENT,47
PARK TO REDUCE ROADWAY TO LESS THAN 10 FEET,52
COMMERCIAL MOTOR VEHICLE - NOT OUT OF SERVICE,55
FAIL TO DISPLAY METER RECEIPT IN A LOADING ZONE,55
"STREETCAR-PARK, STOP  STAND VEH  GUIDEWAY/PLATFORM",55
MOTOR RUNNING UNATTENDED,56
PARK ON SIDEWALK OR AREA RESERVED FOR PEDESTRIANS,57
PARK LESS THAN 25 FEET FROM AN INTERSECTION,62
PARKED IN DRIVEWAY OR ALLEY TO OBSTRUCT SIDEWALK,70
PARK ON OR UNDER AN ELEVATED STRUCTURE,71
GOVERNMENT VEHICLE PARKING ONLY,74
FAIL TO PROPERLY AFFIX VALIDATION STICKERS,75
IND. W/ DISABILITIES METER  NO PROOF OF PAYMENT,82
PARK ON PUBLIC SPACE,84
PARK IN A FIRE LANE,89
ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 1,90
DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 1,93
PARK LESS THAN 40 FEET FROM AN INTERSECTION,96
NON-TAXI ON HACK STAND,98
NO PARKING 7 AM TO 6:30 PM,102
EXPIRED INSPECTION REJECTION STICKER,129
PARKED ON DESIGNATED VENDOR AREA,149
PARK ON TAXICAB STAND,151
RESERVED RESIDENTIAL SPACE PERSONS W/ DISABILTIES,166
PARK WITH LEFT WHEEL TO THE CURB,189
NOT PARKED IN A METER SPACE,213
NO REAR TAGS.,244
PARK IN SCHOOL ZONE,299
PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,319
OBSTRUCTING CROSSWALK,338
PARK ABREAST OF ANOTHER VEHICLE,346
FAIL TO DISPLAY MULTI SPACE RECEIPT  BALLPARKEVENT,364
NO STOPPING OR STANDING ANYTIME,416
PASSENGER LOADING ZONE,442
PARK IN RESERVED SPACE FOR MOTORCYCLES ONLY,453
"STOPPING, STANDING OR PARKING VEHICLE IN BIKE LANE",454
EXPIRATION TIME ON METER RECEIPT LAPSED,564
NO PARKING SPECIFIC HOURS,576
PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,582
"METER, FAIL TO DEPOSIT PAYMENT",635
RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR,696
PARK IN A DESIGNATED ENTRANCE,724
INDIVID W/ DISABILITIES ONLY UNAUTH. USE RSRVD SP,752
RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR,776
PARK OVERTIME AT A METER,899
EMERGENCY NO PARKING,942
STAND OR PARK IN ALLEY,991
NO STOPPING ANYTIME,1006
PARKED WITHIN 25 FEET OF A STOP SIGN,1086
PARK WITHIN 10 FEET OF A FIRE HYDRANT,1087
VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,1201
FAIL TO DISPLAY CURRENT INSPECTION STICKER,1259
PARK OVERTIME IN TIMED ZONE,1286
PARK IN A BUS ZONE,1292
FAILURE TO SECURE DC TAGS,1320
FAIL TO REPORT FOR INSPECTION.,1583
RELOCATE TOW FEE,1914
UNAUTHORIZED VEHICLE IN LOADING ZONE,2750
NO FRONT TAGS.,2939
NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,3578
NO STANDING ANYTIME,3687
NO PARKING ANYTIME,5546
PARK AT EXPIRED METER,6165
NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,6505
RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,6675
FAIL TO DISPLAY A MULTISPACE METER RECEIPT,8987
DISOBEYING OFFICIAL SIGN,9073
NO PARKING STREET CLEANING,10523
FAILURE TO DISPLAY CURRENT TAGS,11180
Grand Total,105486
